value_kind,group,feature,count,min,p05,p25,median,mean,p75,p95,max,std,unique_count,pct_exact_0,pct_exact_1,pct_near_0,pct_near_1
calibrated,white,white_quiet_position_density,148,0.0,0.050000050000000004,0.25000025000000003,0.498299,0.49999999324324323,0.74999975,0.94999995,1.0,0.2905986633177229,122,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,white,white_king_safety_risk,148,0.003401,0.034014,0.176871,0.62585,0.4999998918918919,0.62585,0.942177,0.996599,0.2681560703448125,15,0.0,0.0,6.081081081081081,4.72972972972973
calibrated,white,white_early_castling_tendency,148,0.0,0.146259,0.146259,0.513605,0.500000054054054,0.755102,0.94898,0.996599,0.28858074544001233,57,0.6756756756756757,0.0,4.054054054054054,4.054054054054054
calibrated,white,white_opposite_side_castling_tendency,148,0.204082,0.20408199999999999,0.204082,0.493197,0.5000000878378379,0.748299,0.94999995,1.0,0.28019565891516673,39,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,white,white_middlegame_complexity,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.2906317376894545,146,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,white,white_pawn_structure_sharpness,148,0.255102,0.255102,0.255102,0.255102,0.5000000675675675,0.73724525,0.87415,1.0,0.26857551512109795,17,0.0,0.6756756756756757,0.0,2.027027027027027
calibrated,white,white_material_imbalance,148,0.231293,0.231293,0.231293,0.506803,0.5000001959459459,0.785714,0.94898,1.0,0.27459338953745976,19,0.0,0.6756756756756757,0.0,4.054054054054054
calibrated,white,white_endgame_likelihood_proxy,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_tactical_density,148,0.0,0.04897975000000001,0.25000025000000003,0.498299,0.5,0.74999975,0.94999995,1.0,0.29063066330884263,142,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_quiet_position_density,148,0.0,0.050000050000000004,0.25000025000000003,0.513605,0.5000000067567567,0.74999975,0.94999995,1.0,0.2905959583886957,119,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_king_safety_risk,148,0.0,0.180272,0.180272,0.690476,0.4999998716216216,0.690476,0.9522106000000001,1.0,0.2682316853345933,14,0.6756756756756757,0.6756756756756757,4.054054054054054,5.405405405405405
calibrated,black,black_early_castling_tendency,148,0.0,0.132653,0.25765325,0.5,0.4999998918918919,0.768707,0.945578,1.0,0.2874310543273963,44,0.6756756756756757,0.6756756756756757,3.3783783783783785,4.72972972972973
calibrated,black,black_opposite_side_castling_tendency,148,0.204082,0.20408199999999999,0.204082,0.493197,0.5000000878378379,0.748299,0.94999995,1.0,0.28019565891516673,39,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,black,black_middlegame_complexity,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.2906317376894545,146,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_pawn_structure_sharpness,148,0.258503,0.258503,0.258503,0.258503,0.4999999054054054,0.727891,0.863946,1.0,0.2678616654654731,15,0.0,0.6756756756756757,0.0,3.3783783783783785
calibrated,black,black_material_imbalance,148,0.231293,0.231293,0.231293,0.506803,0.5000001959459459,0.785714,0.94898,1.0,0.27459338953745976,19,0.0,0.6756756756756757,0.0,4.054054054054054
calibrated,black,black_endgame_likelihood_proxy,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
