value_kind,group,feature,count,min,p05,p25,median,mean,p75,p95,max,std,unique_count,pct_exact_0,pct_exact_1,pct_near_0,pct_near_1
calibrated,white,white_pawn_structure_sharpness,148,0.197279,0.19727900000000004,0.197279,0.537415,0.5000001824324325,0.816327,0.9598641500000001,0.996599,0.27911171737004753,22,0.0,0.0,0.0,5.405405405405405
calibrated,white,white_material_imbalance,148,0.190476,0.190476,0.190476,0.510204,0.49999995945945946,0.74999975,0.94999995,0.996599,0.2812658336668517,26,0.0,0.0,0.0,5.405405405405405
calibrated,white,white_endgame_likelihood_proxy,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.49999999324324323,0.74999975,0.94999995,1.0,0.2906320166430046,147,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_tactical_density,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.2906312101470066,146,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_quiet_position_density,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.49999999324324323,0.74999975,0.94999995,1.0,0.29061857348555165,131,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_king_safety_risk,148,0.0,0.146259,0.146259,0.554422,0.5000002432432432,0.554422,0.94999995,0.996599,0.27892600121279926,38,0.6756756756756757,0.0,3.3783783783783785,5.405405405405405
calibrated,black,black_early_castling_tendency,148,0.0,0.088435,0.25000025000000003,0.5,0.49999999324324323,0.676871,0.94999995,1.0,0.2892047274037587,83,0.6756756756756757,0.6756756756756757,2.027027027027027,5.405405405405405
calibrated,black,black_opposite_side_castling_tendency,148,0.170068,0.170068,0.170068,0.5,0.49999998648648647,0.74999975,0.9588432000000001,1.0,0.2845933585373953,78,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,black,black_middlegame_complexity,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,black,black_pawn_structure_sharpness,148,0.20068,0.20068,0.20068,0.510204,0.49999989864864863,0.819728,0.94999995,1.0,0.27848257026555995,24,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,black,black_material_imbalance,148,0.190476,0.190476,0.190476,0.510204,0.49999995945945946,0.74999975,0.94999995,0.996599,0.2812658336668517,26,0.0,0.0,0.0,5.405405405405405
calibrated,black,black_endgame_likelihood_proxy,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
